measure_url	measure_type	scoring	status	report_type	group_code	period_start	period_end	reporter_system	reporter_value	reporter_display	subject_system	subject_value	measure_score	measure_score_unit	pop_initial	pop_denominator	pop_numerator	strat_kon_man	strat_kon_kvinna	strat_age_under_50	strat_age_50_64	strat_age_65_74	strat_age_75_84	strat_age_85_plus	strat_vt_0_30	strat_vt_31_60	strat_vt_61_90	strat_vt_91_120	strat_vt_121_180	strat_vt_over_180	dimension_type	dimension_value	dimension_display
https://kchd.se/fhir/Measure/vantetid-vardgaranti	vardgaranti	proportion	complete	summary	andel_inom_90	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	0.8571	%	19	14	12	11	8	0	1	11	7	0	6	3	8	1	1	0			
https://kchd.se/fhir/Measure/vantetid-median	vantetid	continuous-variable	complete	summary	median_vantetid	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	61	dagar	19			11	8	0	1	11	7	0	6	3	8	1	1	0			
https://kchd.se/fhir/Measure/vantetid-median	vantetid	continuous-variable	complete	summary	medel_vantetid	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	54.6	dagar	19			11	8	0	1	11	7	0	6	3	8	1	1	0			
https://kchd.se/fhir/Measure/vantetid-patientresa	patientresa	continuous-variable	complete	summary	median_patientresa	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	77	dagar	19			11	8	0	1	11	7	0	6	3	8	1	1	0			
https://kchd.se/fhir/Measure/vantetid-patientresa	patientresa	continuous-variable	complete	summary	median_remiss_beslut	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	39	dagar	19			11	8	0	1	11	7	0	6	3	8	1	1	0			
https://kchd.se/fhir/Measure/vantetid-vardgaranti	vardgaranti	proportion	complete	summary	andel_inom_90	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	0.8571	%	19	14	12														yrkeskategori	XS915	XS915
https://kchd.se/fhir/Measure/vantetid-median	vantetid	continuous-variable	complete	summary	median_vantetid	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	61	dagar	19																yrkeskategori	XS915	XS915
https://kchd.se/fhir/Measure/vantetid-median	vantetid	continuous-variable	complete	summary	medel_vantetid	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	54.6	dagar	19																yrkeskategori	XS915	XS915
https://kchd.se/fhir/Measure/vantetid-patientresa	patientresa	continuous-variable	complete	summary	median_patientresa	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	77	dagar	19																yrkeskategori	XS915	XS915
https://kchd.se/fhir/Measure/vantetid-patientresa	patientresa	continuous-variable	complete	summary	median_remiss_beslut	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	39	dagar	19																yrkeskategori	XS915	XS915
https://kchd.se/fhir/Measure/vantetid-vardgaranti	vardgaranti	proportion	complete	summary	andel_inom_90	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	0.8571	%	18	14	12														kontaktform	0	0
https://kchd.se/fhir/Measure/vantetid-median	vantetid	continuous-variable	complete	summary	median_vantetid	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	61.5	dagar	18																kontaktform	0	0
https://kchd.se/fhir/Measure/vantetid-median	vantetid	continuous-variable	complete	summary	medel_vantetid	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	55.4	dagar	18																kontaktform	0	0
https://kchd.se/fhir/Measure/vantetid-patientresa	patientresa	continuous-variable	complete	summary	median_patientresa	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	77	dagar	18																kontaktform	0	0
https://kchd.se/fhir/Measure/vantetid-patientresa	patientresa	continuous-variable	complete	summary	median_remiss_beslut	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	39	dagar	18																kontaktform	0	0
https://kchd.se/fhir/Measure/vantetid-vardgaranti	vardgaranti	proportion	complete	summary	andel_inom_90	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	None	%	1	0	0														kontaktform	91	91
https://kchd.se/fhir/Measure/vantetid-median	vantetid	continuous-variable	complete	summary	median_vantetid	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	41	dagar	1																kontaktform	91	91
https://kchd.se/fhir/Measure/vantetid-median	vantetid	continuous-variable	complete	summary	medel_vantetid	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	41	dagar	1																kontaktform	91	91
https://kchd.se/fhir/Measure/vantetid-patientresa	patientresa	continuous-variable	complete	summary	median_patientresa	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	None	dagar	1																kontaktform	91	91
https://kchd.se/fhir/Measure/vantetid-patientresa	patientresa	continuous-variable	complete	summary	median_remiss_beslut	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	None	dagar	1																kontaktform	91	91
https://kchd.se/fhir/Measure/vantetid-vardgaranti	vardgaranti	proportion	complete	summary	andel_inom_90	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	1.0	%	5	3	3														bokningssatt	2	2
https://kchd.se/fhir/Measure/vantetid-median	vantetid	continuous-variable	complete	summary	median_vantetid	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	41	dagar	5																bokningssatt	2	2
https://kchd.se/fhir/Measure/vantetid-median	vantetid	continuous-variable	complete	summary	medel_vantetid	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	40.2	dagar	5																bokningssatt	2	2
https://kchd.se/fhir/Measure/vantetid-patientresa	patientresa	continuous-variable	complete	summary	median_patientresa	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	60.5	dagar	5																bokningssatt	2	2
https://kchd.se/fhir/Measure/vantetid-patientresa	patientresa	continuous-variable	complete	summary	median_remiss_beslut	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	29.0	dagar	5																bokningssatt	2	2
https://kchd.se/fhir/Measure/vantetid-vardgaranti	vardgaranti	proportion	complete	summary	andel_inom_90	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	0.75	%	8	8	6														bokningssatt	3	3
https://kchd.se/fhir/Measure/vantetid-median	vantetid	continuous-variable	complete	summary	median_vantetid	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	65.5	dagar	8																bokningssatt	3	3
https://kchd.se/fhir/Measure/vantetid-median	vantetid	continuous-variable	complete	summary	medel_vantetid	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	75.2	dagar	8																bokningssatt	3	3
https://kchd.se/fhir/Measure/vantetid-patientresa	patientresa	continuous-variable	complete	summary	median_patientresa	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	104.0	dagar	8																bokningssatt	3	3
https://kchd.se/fhir/Measure/vantetid-patientresa	patientresa	continuous-variable	complete	summary	median_remiss_beslut	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	38.0	dagar	8																bokningssatt	3	3
https://kchd.se/fhir/Measure/vantetid-vardgaranti	vardgaranti	proportion	complete	summary	andel_inom_90	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	1.0	%	6	3	3														bokningssatt	4	4
https://kchd.se/fhir/Measure/vantetid-median	vantetid	continuous-variable	complete	summary	median_vantetid	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	34.5	dagar	6																bokningssatt	4	4
https://kchd.se/fhir/Measure/vantetid-median	vantetid	continuous-variable	complete	summary	medel_vantetid	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	39.2	dagar	6																bokningssatt	4	4
https://kchd.se/fhir/Measure/vantetid-patientresa	patientresa	continuous-variable	complete	summary	median_patientresa	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	66	dagar	6																bokningssatt	4	4
https://kchd.se/fhir/Measure/vantetid-patientresa	patientresa	continuous-variable	complete	summary	median_remiss_beslut	2026-02-01	2026-02-28	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000010148	Sahlgrenska Universitetssjukhuset	urn:oid:1.2.752.129.2.1.4.1	SE2321000131-E000000000001	39	dagar	6																bokningssatt	4	4
